文字	面区点	水準	Unicode	UTF16
𠂉	2-01-01	第4水準	U+20089	0xD840 0xDC89
丂	2-01-02	第4水準	U+4E02	0x4E02
丏	2-01-03	第4水準	U+4E0F	0x4E0F
丒	2-01-04	第4水準	U+4E12	0x4E12
丩	2-01-05	第4水準	U+4E29	0x4E29
丫	2-01-06	第4水準	U+4E2B	0x4E2B
丮	2-01-07	第4水準	U+4E2E	0x4E2E
乀	2-01-08	第4水準	U+4E40	0x4E40
乇	2-01-09	第4水準	U+4E47	0x4E47
么	2-01-10	第4水準	U+4E48	0x4E48
𠂢	2-01-11	第4水準	U+200A2	0xD840 0xDCA2
乑	2-01-12	第4水準	U+4E51	0x4E51
㐆	2-01-13	第4水準	U+3406	0x3406
𠂤	2-01-14	第4水準	U+200A4	0xD840 0xDCA4
乚	2-01-15	第4水準	U+4E5A	0x4E5A
乩	2-01-16	第4水準	U+4E69	0x4E69
亝	2-01-17	第4水準	U+4E9D	0x4E9D
㐬	2-01-18	第4水準	U+342C	0x342C
㐮	2-01-19	第4水準	U+342E	0x342E
亹	2-01-20	第4水準	U+4EB9	0x4EB9
亻	2-01-21	第4水準	U+4EBB	0x4EBB
𠆢	2-01-22	第4水準	U+201A2	0xD840 0xDDA2
亼	2-01-23	第4水準	U+4EBC	0x4EBC
仃	2-01-24	第4水準	U+4EC3	0x4EC3
仈	2-01-25	第4水準	U+4EC8	0x4EC8
仐	2-01-26	第4水準	U+4ED0	0x4ED0
仫	2-01-27	第4水準	U+4EEB	0x4EEB
仚	2-01-28	第4水準	U+4EDA	0x4EDA
仱	2-01-29	第4水準	U+4EF1	0x4EF1
仵	2-01-30	第4水準	U+4EF5	0x4EF5
伀	2-01-31	第4水準	U+4F00	0x4F00
伖	2-01-32	第4水準	U+4F16	0x4F16
佤	2-01-33	第4水準	U+4F64	0x4F64
伷	2-01-34	第4水準	U+4F37	0x4F37
伾	2-01-35	第4水準	U+4F3E	0x4F3E
佔	2-01-36	第4水準	U+4F54	0x4F54
佘	2-01-37	第4水準	U+4F58	0x4F58
𠈓	2-01-38	第4水準	U+20213	0xD840 0xDE13
佷	2-01-39	第4水準	U+4F77	0x4F77
佸	2-01-40	第4水準	U+4F78	0x4F78
佺	2-01-41	第4水準	U+4F7A	0x4F7A
佽	2-01-42	第4水準	U+4F7D	0x4F7D
侂	2-01-43	第4水準	U+4F82	0x4F82
侅	2-01-44	第4水準	U+4F85	0x4F85
侒	2-01-45	第4水準	U+4F92	0x4F92
侚	2-01-46	第4水準	U+4F9A	0x4F9A
俦	2-01-47	第4水準	U+4FE6	0x4FE6
侲	2-01-48	第4水準	U+4FB2	0x4FB2
侾	2-01-49	第4水準	U+4FBE	0x4FBE
俅	2-01-50	第4水準	U+4FC5	0x4FC5
俋	2-01-51	第4水準	U+4FCB	0x4FCB
俏	2-01-52	第4水準	U+4FCF	0x4FCF
俒	2-01-53	第4水準	U+4FD2	0x4FD2
㑪	2-01-54	第4水準	U+346A	0x346A
俲	2-01-55	第4水準	U+4FF2	0x4FF2
倀	2-01-56	第4水準	U+5000	0x5000
倐	2-01-57	第4水準	U+5010	0x5010
倓	2-01-58	第4水準	U+5013	0x5013
倜	2-01-59	第4水準	U+501C	0x501C
倞	2-01-60	第4水準	U+501E	0x501E
倢	2-01-61	第4水準	U+5022	0x5022
㑨	2-01-62	第4水準	U+3468	0x3468
偂	2-01-63	第4水準	U+5042	0x5042
偆	2-01-64	第4水準	U+5046	0x5046
偎	2-01-65	第4水準	U+504E	0x504E
偓	2-01-66	第4水準	U+5053	0x5053
偗	2-01-67	第4水準	U+5057	0x5057
偣	2-01-68	第4水準	U+5063	0x5063
偦	2-01-69	第4水準	U+5066	0x5066
偪	2-01-70	第4水準	U+506A	0x506A
偰	2-01-71	第4水準	U+5070	0x5070
傣	2-01-72	第4水準	U+50A3	0x50A3
傈	2-01-73	第4水準	U+5088	0x5088
傒	2-01-74	第4水準	U+5092	0x5092
傓	2-01-75	第4水準	U+5093	0x5093
傕	2-01-76	第4水準	U+5095	0x5095
傖	2-01-77	第4水準	U+5096	0x5096
傜	2-01-78	第4水準	U+509C	0x509C
傪	2-01-79	第4水準	U+50AA	0x50AA
𠌫	2-01-80	第4水準	U+2032B	0xD840 0xDF2B
傱	2-01-81	第4水準	U+50B1	0x50B1
傺	2-01-82	第4水準	U+50BA	0x50BA
傻	2-01-83	第4水準	U+50BB	0x50BB
僄	2-01-84	第4水準	U+50C4	0x50C4
僇	2-01-85	第4水準	U+50C7	0x50C7
