文字	面区点	水準	Unicode	UTF16
亜	1-16-01	第1水準	U+4E9C	0x4E9C
唖	1-16-02	第1水準	U+5516	0x5516
娃	1-16-03	第1水準	U+5A03	0x5A03
阿	1-16-04	第1水準	U+963F	0x963F
哀	1-16-05	第1水準	U+54C0	0x54C0
愛	1-16-06	第1水準	U+611B	0x611B
挨	1-16-07	第1水準	U+6328	0x6328
姶	1-16-08	第1水準	U+59F6	0x59F6
逢	1-16-09	第1水準	U+9022	0x9022
葵	1-16-10	第1水準	U+8475	0x8475
茜	1-16-11	第1水準	U+831C	0x831C
穐	1-16-12	第1水準	U+7A50	0x7A50
悪	1-16-13	第1水準	U+60AA	0x60AA
握	1-16-14	第1水準	U+63E1	0x63E1
渥	1-16-15	第1水準	U+6E25	0x6E25
旭	1-16-16	第1水準	U+65ED	0x65ED
葦	1-16-17	第1水準	U+8466	0x8466
芦	1-16-18	第1水準	U+82A6	0x82A6
鯵	1-16-19	第1水準	U+9BF5	0x9BF5
梓	1-16-20	第1水準	U+6893	0x6893
圧	1-16-21	第1水準	U+5727	0x5727
斡	1-16-22	第1水準	U+65A1	0x65A1
扱	1-16-23	第1水準	U+6271	0x6271
宛	1-16-24	第1水準	U+5B9B	0x5B9B
姐	1-16-25	第1水準	U+59D0	0x59D0
虻	1-16-26	第1水準	U+867B	0x867B
飴	1-16-27	第1水準	U+98F4	0x98F4
絢	1-16-28	第1水準	U+7D62	0x7D62
綾	1-16-29	第1水準	U+7DBE	0x7DBE
鮎	1-16-30	第1水準	U+9B8E	0x9B8E
或	1-16-31	第1水準	U+6216	0x6216
粟	1-16-32	第1水準	U+7C9F	0x7C9F
袷	1-16-33	第1水準	U+88B7	0x88B7
安	1-16-34	第1水準	U+5B89	0x5B89
庵	1-16-35	第1水準	U+5EB5	0x5EB5
按	1-16-36	第1水準	U+6309	0x6309
暗	1-16-37	第1水準	U+6697	0x6697
案	1-16-38	第1水準	U+6848	0x6848
闇	1-16-39	第1水準	U+95C7	0x95C7
鞍	1-16-40	第1水準	U+978D	0x978D
杏	1-16-41	第1水準	U+674F	0x674F
以	1-16-42	第1水準	U+4EE5	0x4EE5
伊	1-16-43	第1水準	U+4F0A	0x4F0A
位	1-16-44	第1水準	U+4F4D	0x4F4D
依	1-16-45	第1水準	U+4F9D	0x4F9D
偉	1-16-46	第1水準	U+5049	0x5049
囲	1-16-47	第1水準	U+56F2	0x56F2
夷	1-16-48	第1水準	U+5937	0x5937
委	1-16-49	第1水準	U+59D4	0x59D4
威	1-16-50	第1水準	U+5A01	0x5A01
尉	1-16-51	第1水準	U+5C09	0x5C09
惟	1-16-52	第1水準	U+60DF	0x60DF
意	1-16-53	第1水準	U+610F	0x610F
慰	1-16-54	第1水準	U+6170	0x6170
易	1-16-55	第1水準	U+6613	0x6613
椅	1-16-56	第1水準	U+6905	0x6905
為	1-16-57	第1水準	U+70BA	0x70BA
畏	1-16-58	第1水準	U+754F	0x754F
異	1-16-59	第1水準	U+7570	0x7570
移	1-16-60	第1水準	U+79FB	0x79FB
維	1-16-61	第1水準	U+7DAD	0x7DAD
緯	1-16-62	第1水準	U+7DEF	0x7DEF
胃	1-16-63	第1水準	U+80C3	0x80C3
萎	1-16-64	第1水準	U+840E	0x840E
衣	1-16-65	第1水準	U+8863	0x8863
謂	1-16-66	第1水準	U+8B02	0x8B02
違	1-16-67	第1水準	U+9055	0x9055
遺	1-16-68	第1水準	U+907A	0x907A
医	1-16-69	第1水準	U+533B	0x533B
井	1-16-70	第1水準	U+4E95	0x4E95
亥	1-16-71	第1水準	U+4EA5	0x4EA5
域	1-16-72	第1水準	U+57DF	0x57DF
育	1-16-73	第1水準	U+80B2	0x80B2
郁	1-16-74	第1水準	U+90C1	0x90C1
磯	1-16-75	第1水準	U+78EF	0x78EF
一	1-16-76	第1水準	U+4E00	0x4E00
壱	1-16-77	第1水準	U+58F1	0x58F1
溢	1-16-78	第1水準	U+6EA2	0x6EA2
逸	1-16-79	第1水準	U+9038	0x9038
稲	1-16-80	第1水準	U+7A32	0x7A32
茨	1-16-81	第1水準	U+8328	0x8328
